CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
"14748,14763,14765,15783","14971,10115","16426,16541,16542,16543,16649","16966,14085",17300,,
"15333, 15334, 15335
","13610,15944,13609","15358,15359,15361,13719",17953,"
11689",,
17517,"5184,18609","17449,18507,18813,16543,16649","13658,17442,13660","18502,17300,10361,18700",,
"15334,15333","13613,13609","15272,15273,13417,11394","12860,12967","18814,18815,18816,17972,18817",,
,,,,,,
,,,,,,
,,,,,,
15157,"14972,14973,10739,14975","15468, 15469, 15471, 15668, 15474",15008,"
17609,18902,18903",,
"15333, 15334","10023,5116,322","12461,12460,15968,15970","3476,18123,18124","
17972,18904",,
no video,"1442,14971,3664"," 15475, 15972, 15973, 15974","15366,15368","
18571",,
"15335,15333,15336","
5116","15969,12456,13770",12298,"10642,15467",,
,"14971,3664,10738,10739","15468 , 15668","9857,15008","18615,5318,18616",,
"15333,15335,15334","1,057,910,580","12458,11393,17216","17953,17954,17934","18379,11336,12319,107,12320",,
,,,,,,
"15171,15173,331,15177,15178

","
18981,17978"," 16031,16036,18993

","
19003,19004","
19011,19012
",,
"
18969","18982,18983,5881,18984,45","18994,18995,18996
","
19005","19013,19014",,
"15429,15430, 15431
","
3664,18985,18987",17467,No video,"19015,5318",,
"15899,15900,18974,18975
","
18988,18990,18991,18992","18997,817","
19006,19007,6652,19008",19033,,
,"435,418,386",,"19009, 19010
","
11239,19017,19018",,
" 15855,18512,18980,809",,"18999,19000,19001, 19002

",,,,
,,,,,,
"15432, 15433,15434, 15435 15436


","19252,703,19253,19254
","
4275","13956, 14331, 13957, 13960,13963


","19286,19287,19288",,
"589,19231,19232","19255,613","19265,19266,19267,817","
19281,19282","
19293,107
",,
"19225,4435,4615,19226,19227","19256,4789,15294","19259,19260,19263","4457,13304,19278","
19289,19290",,
"19237,19238,19239,19240,589","
19258,9899","19268,19269","19283,3476,19284","
19294,19295,19296",,
"19228,19229,19230",,"
4242,19264",,,,
,"17848,5861",,"
19285"," 11832,18860, 13112
",,
,,,,,,
"17742,17743,17744,17745","15509,15510,19257

","
19470,19471"," 13137,13138,19280

","
19291,19292,19309,",,
"
608, 19250","
19467,19468,19469","
19270,19271,19272,19273,19274,19275",12811,"
19472,19473",,
,,"13640,13641,4526,13645,4619,19480",,,,
,,"
19481",,,,
,,,,,,
KL GRADE 6,KL GRADE 7,KL GRADE 8,KL GRADE 9,KL GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,,
"16195,16196,16197,16199,16200","15298,17470,17471,584","631,15655,15656,15657","13658,13665","17484,1452",,
"17468,16301,5184,17469","14788,14791,17478,17479","13004,14024","16872,16873,16874,16875,16876,16877","16390,16700",,
"14141,14143","15513,16160","4295,15655,14794","11453,11643,14515,11454","17485,17486,17487",,
"16985,16918,17477","15851,15852","14009,14024","17480,17481,17482,17483","6648,5543",,
,,,,,,
,,,,,,
,,,,,,
"15456,11028","15298,5724",,"17530,11229","17484,70,17485",,
"17174,17469,5940","3655,14817,16185",,"12323,17531,12322,13152,13153","17533,17534,17535",,
no video,"5503,9326,3689,17527","12422,13167","14088,4762",70,,
17174,"3689,17528,17529,17380","13004,10960",336,"6594,12500",,
"16402,16403,16404,16405","11235,13687","17541,13710,13712,17542",4762,"15735,15098",,
"13806,13825,13831,13813,13810","16365,17539","10960,14009","17532,16763","17537,17537,11700,11701,9851,11698,3462",,
,,,,,,
"12390,17622"," 15272, 15273,15274","16867,16868,16869,16870","13283,13284","17634,15097,5870",,
"13280,13653,17626","14935,15851",796,"16762,16763,17630,17631,17632","12501,17638,12502,17639",,
"17624,17607,5266","15359,11305,9255","
631,16869","13176,13359,13177,13179","15097,17635,17636",,
"13653,17627",618,"4354,9892","12324,12854,17370,12886","7000,9851",,
"12390,17625","4863,11305","14141,14143",5137,17637,,
"10228,5557",334,"7122,14331","12705,17614,17615,17616,17617,17633","16722,16897,17640",,
,,,,,,
"15491,17624,17725","588,15521,16228,17728","15455,15205,15458,15459,15460",13284,"8221,15098",,
"13280,6537,13281","17729,17730","14293,14315,5854","12854,17370","9851,17537,7000",,
"17496,17693,17726","17122,4990,612,15521","17306,17307,14713,17308,17309",4354,"17739,17740",,
"6537,333","11879,334",17735,"17480,17481,17482,17483,336","17535,17741",,
"14787,14008,14798,5696",3714,12420,"6061,6374",17740,,
17727,"5052,5331,17732,17733,17734","17736,6247,14293","17737,17738","6594,12887,12399",,
,,,,,,
"4552,5696",16229,"15709,15710,15711,15712","60,616,374","16594,17902",,
7220,"17877,17896","14280,17889",8589,"17535,17907",,
"14008,3404","15521,4607","17883,17884",no video,"17903,17904",,
"588,15521,16228","17879,17729,17877",17892,"14144,14145,14229","12323,17531,12324,13152,13153",,
17874,,,"8654,12858","16594,17905",,
,15280,"5702,12372",,,,
,,,,,,
"
12600,11895","
15280,15069,15062,15072"," 17325,17326,15722,15711,18060,5299,15441


",17289,"
17903,17904",,
"18040,18042"," 15138,15139, 15140,15141

",18050,"
18064,18064
","
18068,18069,18070,18078",,
"11452,11475, 18044,18045

","
9008,15280","13182, 13183,5299,15441

","
18065,18066",18079,,
"
18042
","13946,13952,13954,18049

",No Video," 18068,18069,18070","
13271,13272, 18080",,
"
18044,18046,4165",,"
18061,13185","18071,4984",No Video,,
,"
18051,18052,18053,10642,18055,18059
",,"18072,18074,18077

","
18081,18082",,
,,,,,,
no video,"15298,17687,15633,15513","644,17375",no video,"17484,70,17485",,
"588,15521","18164,10756,18165,18166,781,14031","12425,12428",16646,"13272,18182,18183,5050,18184",,
16173,"17330,13719,13695,11394","15164,18169","17530,12771","15097,17739",,
"17468,16301,17469",no video,"51,13655","651,18177","13554,13555,13556",,
"13615,12565,10322","13912,13913",14849,"5200,13359","51,13655",,
16918,"15147,15149",5702,"14640,53",no video,,
,,,,,,
" 11225,594,11215,11228,11217


","5829, 5755
",15164,"16396,17634

"," 11586,10361",,
"
18265,67","
11412,9899,11744,14904",No video,"
18077,5326","
13556,18274",,
"
5123","
18270,4092,804,4881",No video,"
18271",No video,,
67,"
9899","13004,14024

","15166,18282,18283","
18276,18278,18289,18279,18280",,
,,,,,,
,,,,,,
,,,,,,
no video,"18346,12869,5829","18348,10224,8564",14114,"10004,17302",,
"1283,67","6068,13101,18347","3891,14021,18349,796",no video,"18276,18278,18289,18279,18280,18281",,
"16702,13615",4881,"14144,14145",18351,"17300,5471",,
"67,5383","17856,17857","14331,17892,13957","16647,16648","18356,18357,18358,18359",,
"14141,15205","15521,15522",No video,"14114,18351",17320,,
no video,"8589,18072,11218","17736,6247,17138","18352,18353,18354,18355",18274,,
,,,,,,
"18510,18511","
15280,15069,18516","4295,18524,18525","
18271","
18536,5784,18537",,
"
15855,18512,18514","
18517,322,18518,611,18519","18526,18527","
16942,16943,18531,18532","18539,18540,5321",,
No video,"
571","12422, 13167","
18271",No video,,
"
18515","
18520,18521,18522,18523","11882,11883
","
18533,18534,18535",No video,,
,,"18528,5101,18529,18530",,,,
,,"
11883",No video,"
18068,18541",,
,,,,,,
"12390,17622","
18703"," 18711, 18712,18713,18714
","
18719","18729,18730",,
"16452,15725

","
18704,18705,18706,18707,18708,18709","18715,3429","18721,18722,18723,18724
","
18731",,
"18620, 17624, 5266","
18710","14787,18716,14872,18717,18718
","
18720","
18732,18733",,
"
18702","611,5326",No video,"
18725,18726,18727,18728
","
18734,18735",,
,,,,,,
,,,,,,
,,,,,,
"17809,17625","18819,5057","10727,18821",18848,"18823,18824,18825,18732",,
"18818,3885","11399,13952,13954,18049,8598",No video,"13781,13784,13785,634",5993,,
"17813,17814,17816","18820,17200,4235","18822,10727,18821","6061,6374",4820,,
16247,"18051,18052,18053,10642,18055,18059","11882,11883",16305,"18826,18827,18828,18539,18540,18829",,
,,,,,,
,,,,,,
,,,,,,
"17496,17693,17726","16465,4235","15455,15205,15458,15459,15460","8654,12858",16587,,
"17071,17072","18164,10756,18165,18166,781,14031","11883,18715",no video,"18826,18827",,
"14065,14062,16125,13419","16464,16438,16465","17306,17307,14713,17308,17309",17840,18907,,
"5983,15766,15767,13357,16801",334,5127,"13353,18354,18533,18535,18721","5691,6025",,
"16126,16127",,,"18906,3458",3562,,
,,18905,,,,
,,,,,,
"15406,15407","804,10368","18956,18957,5026,18958",3458,"18732,3490",,
no video,"17729,17730",no video,"18966,18212",no video,,
"13419,16127",18954,"18959,18960,18961","18962,18963,18964","4820,18907,6482",,
"3643,18952","11879,334",18050,"634,13786","14886,15250,15651,18967",,
,18955,,18965,"18732,4820",,
"5733,18953",,"18050,12428",,,,
,,,,,,
No video,"783,19307","19323,19324,19325",4416,18907,,
"19301,19302","5052,5331,19310,19311,19313,19314","19327,19329,14061",13786,18967,,
"
5609,5101","18955","5026,18958,18959, 19323,19324

",18964,"10361,10004,17302",,
67,"
19315,19316, 11879","18611,25,10739
","17426,5182,17427","19303,6846,9860,19304,19305,19306",,
19391,,"13667,13670,13672",,,,
,"
19490,19491,19492",,"
19318,19320,19321,19322","
19338",,
,,,,,,
"11225,594
","
131,19308","194,991,950,019,501",18965,"15004,15005,15006",,
"
29,19336","
19493, 19494,19496,19497,19498","10739,18612","19431,19432,19433,19434","19435,19436,19438",,
,,"19502,19503,19503,19505, 19506

",,,,
,,"19427, 19428,19430",,,,
TN  GRADE 6,TN  GRADE 7,TN  GRADE 8,TN  GRADE 9,TN  GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,,
"11339,11340,331,15430","8618,604","14850,17714",17619,"13661,16349,14482,15023",,
"1055,17493,17494","13182,13183,5299,16864","13836,6357,13657",17756,"14850,17597,8706,15444",,
no video,605,"
622","17621,17754,17750","17282,17283,17284",,
"5552,15343","8706,15442,10734","10951,10962,3850","17757,16769,16770,16771,17753","15164,17758",,
no video,264,17753,"17755,16609","17360,17361",,
"10367,10520,10521","13182,13183,5299,8706","11231,11304,11230,10962,790,6583",no video,"14144,14145,14153",,
,,,,,,
"16932,17909,17910,17911,16363,8128
",no video,"17783,17784",no video,"10807,10759,17360",,
" 9841,11816,10003,17908
","16402,16403,16404","615,17921,
","16867,16868,16869,16870",no video,,
"17912,17286,
17287","17920,5080","17912,17924,15706,15707,17925,
","17621,17754,17929",no video,,
"17913, 8739,15346
","17449,16410","17927,17928, 17930

","16475,17932,17933"," 17934,
17934,10320",,
"17288,17915","17922,17923"," 15709,15722, 15711,15712

","16609,16608","17609,17610",,
"17916,17917,17918,17919

","13606,15436,17926","
62",no video," 17935, 17936
",,
,,,,,,
18032,"16464,17200,16346",15437,17750,17720,,
no video,"15434,15436","15358,15359,15361","17933,18037",13786,,
"17325,17326,15711,18033","16347,4021,16348","17325,15722,17326,15711,18033",no video,"18039,18038,17723",,
"15245,15246",17884,"15272,15273,15274,15523,13723",17396,"
15443",,
"16200,16206,16207",no video,"16478,18034,18035","15333,14965,13808,13250,13251,14711","17722,17723",,
"15535,13857","16156,16157,16898","17330,15273,15274","16720,13795",no video,,
,,,,,,
"18170,18187,18171,18175,18176","15245,15246","18190,18191","13661,16349,14482,15023",no video,,
"5037,4881","15710,15711,18033","15273,15274",11896,"14519,15444,15651,15652,15443",,
"18172,18171","14341,13912,13913",no video,"15389,4695,632,10204,10278","18201,5318",,
"16592,5037,4881","17295,15259","15968,15969,15970,16152,15971","631,13182,16867,16869,16870","15431,17481,18207",,
"18175,18176,18172,18171",13914,"18034,18191,18190,16478,17473,17577","13664,10360,17359","18203,5318",,
no video,"17325,17286,18032","15969,15976,15977,15978,15979","18197,17933","18208,6539,18209,17953,17954",,
,,,,,,
"14151,18285,10647

","13658,15271,11390,5702",16707,"
630",No video,,
"13974,13974, 11403,5760,4280,5608



","631,15813,15814,15816,15817",15969,"
16769","
18212,13139,12835,18113, 17617


",,
"
18044,18287","5755,5829","5512,18286,14871","
10512,10225,10513
","
5318",,
18288,"
16612,6059","15298,15299,15303",No Video,"
11386,11896,11897",,
,,,,,,
,,,,,,
,,,,,,
"
18360,14200,18361,10224","346,11390, 5702
",No video,No video,No video,,
"
18362,18363","16943,16647,16648
","
12878,18368,15515",No video,No video,,
"
631",No video,"
4181,4160","
11054",No video,,
"11406,5181,11406",No video," 5013
","
10236,18377,10371,18290
","
18379,11336,11688,18380,11689,18381",,
"
10589,18371,631,10325,18372,18373",No video,"
616,18375,14209","
11054,11055",No video,,
"
18367","
17583,13615,12565,18383","
18194,15515","14512,16646,18378",No video,,
,,,,,,
"
5101","13974,11403,15759"," 17630, 17632","
18560",No video,,
"
18542,18543,5901","
17583,18545,18546,18548,18549"," 16464,16438, 16465,16466,16467
","14151,14152,17401,14153","11689,18566,18567,18568,18569",,
"
631,5101"," 15305, 15306,15309,15311
","13701,13705,13705,13709,18554,18555
","
18561,18562",No video,,
"
18544",No video,15315,"
18563,6202,18564","
No video",,
,,"
18556,18557","
18561,18562",No video,,
,,"18558,18559

","15164,18169","17280,17281,8598

",,
,,,,,,
"
11215,18736,18737","18746,18747","14927,14919","
51,5829"," 17621,16609, 17929

",,
" 7220,18738
","
18748,18749,18750,18775"," 18559,18757","
18760,18761",No video,,
" 15477,594,18739,18740,18741",no video,"
18756,18755, 18754
","
18762,18763,18764,18765","18770,18771",,
"
18742,18743,18744,18745","
18751,18752,18753","
18758",14849,"18766,18773,18774,11832",,
,,,,,,
,,,,,,
,,,,,,
"13615,15477,15478,18830,18831","4990,612,13036","
14544","
14236,7443,18627",18844,,
"18619,18621","9845,18833","18836,16561,3808,16375,18837","9851,14849,18841,17567,18841,18842,18843","781,10689",,
"15477,12565,13615,15478,18830,18831","17041,17042,18832","14927,14919,18756,18755, 18754,14544","14089,11229","18845,18846",,
6057,"18834,18835","16766,16561,16375,16767,16562","14754, 14801","
12320,12319",,
"15171,15173,15175,15177,15178",no video,"18034,18191,18190,16478,17473,17577",802,18847,,
"
6057",no video,"16854,16855,18838,18839,18840,870,16911","
6467",no video,,
,,,,,,
no video,6385,"13183,5299",18107,18909,,
6057,"13182,13183,5299,8706",5135,"15188,15167","12854,17370",,
"17325,17326,15711,18033",no video,"17325,15722,17326,15711,18033","14236,16965,16966,18627,10842",18909,,
no video,"17325,17286,18032","16855,16856,16910,16908",14512,"18910,18911,18314",,
,,,,,,
,,,,,,
,,,,,,
"13984,13986,13988,13992,14003,14008",9767,"14788, 14791, 14802, 14803, 14804, 14935","18627,14093,18971","18978,18846",,
"15045,11044,15047,15050","13984,13986,13988,13992,14003,14008","4797,8517",18973,"18841,18552,18979",,
"14787,14798",3714,"14791,6648,5512","14093,18971",no video,,
"17820,17821, 17822","14787,12860,14799,4472","
14997,5829","18977,15164,14849,14833,18976","13300,944",,
,,,"15521,13036,18972",no video,,
"15946,15952,15953,15954,14441",,"
4328,18970",,,,
,,,,,,
"13984,14003,14008","15864,14575,14531,15865",14791,"14331,13957",19251,,
"159461459,15954","18716,5512,3404,4493","18941,18940,14521","
6846","19276,12475,18394,18582",,
"15437,15438,13757","15873,15874,15520","14808,14809,4181,5492",14127,"17699,18580,18581",,
15947,"14787,12860,4472,5512,18716",4328,no video,"19277,3769,19279",,
15661,,14788,,,,
,18716,,"16872,16873,19242,19241","
18904",,
,,,,,,
No video,"13820,14322","
19446,19447,8598,10642",15516,"17206,18393",,
"194,421,944,319,444"," 15437,15438,19445
","13956,14331,13957,13960","
19448,19449,19450","
19454,19455,19456",,
,,,,,,
,,,,,,
"
19464","
19459,19460,19461","19463,10642","
9858,13314,13972","
19457,19458
",,
No video,"
19462",4744,"
19451,19452,19453","13294,19477,19478",,
