CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
"9841,11816,586","14798,14872,14874,14876","15733,15976,15734,15977","3688,10739","17562,17563,64,17564",,
"12333,12968,4520,12885",15956,"14206,14208,8346,14209,14212","4493,5543","17565,17566,17567,17568",,
"15,9840,10002,10003","11839,3404","15969,15976,15977,15978,15979","51,5829",no video,,
,,,,,,
,,,,,,
,,,,,,
"14935,13909,13911",17681,13784,"17692,14797,816","17321,17322",,
"6962,17676,","17682,17683,17684,17685,17686",15975,"12991,11229",17694,,
"14935,14804","15298,15302,15514","14789,631",17693,"17198,16216",,
"11816,9840,6120,17677","8251,17688,17689","5700,15947",11229,"17695,17696",,
"17678,17679,17680","15629,17687,15633,15631","4654,16425,17691","14754, 14801","17697,5988",,
"15333,15334,15335","14517,17689,8251,14530,14544","16429,17690,16431","13154,13268,13155",no video,,
,,,,,,
"17809,17625",5013,"13984,13986,13988,13992,14003,14008","17825,17826,17827","17829,17830,17831",,
"
17810,17812","345,14919,14920,14921","17821,17822","15516,15517","13655,13069,13070",,
"17813,17814,17816","13974,14386","8146,16538,16539,8073,16541,16542","15166,15167","17832,5276",,
"
17817,17819",no video,"9281,17822","14499,14513","13069,13070",,
,14390,,,,,
"17820,17821, 17822",,"17621,17824,16609","4925,17828,17705",3387,,
,,,,,,
no video,"13974,9504,15759","17958,17329,17691,17959",no video,16060,,
"15946,15947","11452,11592,17576","17621,16609,17929","12425,17459,13660",17510,,
15435,14966,"11741,616,17402,14209","16058,17960,16059","16892,16893,16894",,
"7972,10368","10224,613,17955",16609,"12770,12771",17572,,
17286,,"14787,14867,14798,14872,14876","17961,17962,17963,17964,17965",16558,,
,"13487,10224,11592,17576,11896",,,"17572,6012",,
,,,,,,
"
18155,18157,18158","
9767","14664,14665,14687","
16251","18119,16715,18120,
18121,17126,17128",,
"
17619","
18101,613","
17621","4762,18111,11229",No video,,
"16369,16370,16371","15305,15309","18218,18219,18221,18222,18223

","14766,13139,12835,18112,18113,17616,17617",No video,,
"17621,18095,18096,17750","11413,11625
","18107,18095,18108

",No Video,"15001,18122,14521",,
"
18097","18103,17573","15497,15501,15502,18109,18110","18118,18125","9899,18163,
17188",,
"
17621,18099","
3652,18161,18162","14735, 14971,14737","12878,12879,18224
","11391,18126, 1348",,
,,,,,,
"16371,16554,16555,16556,16557","606,605","5299,15442,635,18222,18223","18233,18234,18235",10886,,
"13974,15761,11403","15407,16867,16868,16869,4472,16870","14736,14737",5013,"14085,14090",,
16558,"11410,14736,7235,14737","18230,18231,18232",634,"18239,18240",,
"13881,5760","5299,15442","14736,3664,14737",no video,"18236,18237,860,18238",,
,,,,,,
,,,,,,
,,,,,,
"16559,4926,16560
","14735,14736,14737",No video,"
10320",5993,,
"4280,5608,5828","18320,18321,14833,14833,18322,14831
",No video,"
18296,18297","18344,860",,
" 16558, 16558,4926,16560
"," 14971,10115","15262,18293,16351","18339,16251","18342,4804,331,18343",,
"17510,5802,5760",17933,"
18294,10738",No Video,no video,,
"
18317,331,18319",7293,"5101,14213",No Video,12407,,
"
18288","17933,18341","
18295","
3390,14277, 14278",no video,,
,,,,,,
"18395,329,15436
",18409,"16216,16217","631,18410,18411,16647
","18420,18421,18422",,
13376,18405,"10738,18295
","
859,18412,14280
","
18423,17610",,
"
631,18399,18401","
5184","18406,16867,18407,16869,18570","18413,18414,18415,18416,18417,18418","18424,18425",,
No Video,18341,"18294,10738,18295"," 14280,18419","17720,17721",,
,,"1637816379,18408,16381,16378,16383","17953,17954"," 18426,17571",,
,,15359,"
14280","
18571",,
,,,,,,
"4295,18399,18402","
18609","16646, 16647, 16942,18610","18589,18590","14027,12407,18592,12709",,
"
18403","
4061","18611,25,10739","
18613","18615,5318",,
"18605,18606,18607,18608",10738,"18546,18587, 18588",18591,18593,,
No video," 14664, 14691,15262, 15263
","10739,18612,3474","
18614,5854","18616,5318",,
"14935,14804","15164,15129,14833",,,,,
,,,,,,
,,,,,,
"14065,15778",5184,"6846,9860",no video,no video,,
"13825,3566",18628,"15287,11062",5854,"18849,18850",,
631,"15298,18194",14664,"16612,6059,16943,18796",18314,,
"13825,13810,18574",no video,"15287,25,3688",17736,"18851,18852",,
,,,,,,
,,,,,,
,,,,,,
"15204,15205","14972,14973,14975",8598,"17427,5374","18872,18873,18874,18875,18876,18877",,
"13836,13813,18863,13280,18864","16125,18411,13183,13184,13185,3967","15305,15306,15309,15311",6247,"18849,18850,18851,18852",,
"18895,7434,14232,14233,14234","14972,14973,14975","16612,6059","18867,18868,18869,18870","17859,781,10689",,
"15518,14615","18567,6059,6101","18865,18747","14120,1464",no video,,
,14972,,"11898,18871",,,
"15519,15520,14615",,"44,18866,4482",1464,"18878,15005,11307,17460",,
,,,,,,
14146,9767,no video,"13060,18920,18915,18916,18917,18918,18919","781,10689,13300,944",,
"13663,15728,13819",13183,18747,1464,"18948,18949",,
"14234,14226","18938,14971","6846,9860",no video,"127,6594",,
13663,no video,5588,14960,"18950,18949,18951",,
,18939,,,,,
"7235,14971",,"18940,18941,14001,18942",14960,"16321,16322",,
,,,,,,
14234,"
19059,5588","19064,19065,19066,19067,19068
","
19077,19078","19091,19092,19093",,
"19051,19052","10023,5116","19069,19070,19071","19079,19080,19081",No video,,
"
19053","
4992,19061","16344,4976,16344,14015
","18796,18921","18922,18889,18923,18890,18891",,
"19054,19055,659
","19097,19098,19099,19187","19072,19073,19074,19075","
19080","3513,19105",,
"11057,11058, 11176
",,"19233,6059,19234,19235,19236,6101","19082,19083,19084,19085,19087,
19088","19183,13294,19185",,
,"
19100,19101,19102,19103,19104",,,,,
,,,,,,
"11893, 11893,11771,12421,11773
","
19062,19063","19370,19371, 18860","11337, 11336,19373,19376","19377,19378,19379,19381,19382",,
